# BEAST v1.8.0, r5971
# Generated Tue Oct 22 09:46:35 BST 2013 [seed=12345]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	coalescent
0	-7295.312165000737	5.263052741317123	-7300.5752177420545	0.20880626081694642	0.2	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-7300.5752177420545	5.51897486285731
1000	-5637.895439041774	0.6703069368433832	-5638.565745978617	0.17636744108794797	0.43937001191810315	2.613568874967326	0.2460767479622098	0.2539232520377902	0.2500000001	0.2499999999	1.0	-5638.565745978617	1.951186142110612
2000	-5635.921533540254	0.40799122304638713	-5636.3295247633005	0.1854044141676893	0.4463888342792838	2.613568874967326	0.24368107343988263	0.2569686686139659	0.25239567462232715	0.2469545833238243	1.0	-5636.3295247633005	1.704718916427905
3000	-5639.369468344324	-2.3991289025816527	-5636.970339441742	0.18956900386714154	0.7884077494669499	2.613568874967326	0.2496168090068188	0.2569686686139659	0.246459939055391	0.2469545833238243	1.0	-5636.970339441742	-0.5335762025495296
4000	-5639.385383410362	-3.4936424580699375	-5635.891740952292	0.18716496708803498	0.9532461124706403	2.613568874967326	0.2496168090068188	0.25656057783523484	0.246459939055391	0.24736267410255539	1.0	-5635.891740952292	-1.4382320420825976
5000	-5625.189370728472	2.2956774983468735	-5627.485048226818	0.1820050233983082	0.25810576979316213	2.917712512748499	0.2496168090068188	0.25656057783523484	0.246459939055391	0.24736267410255539	1.0	-5627.485048226818	3.1557777297822964
6000	-5628.170780584199	1.8489668274112487	-5630.01974741161	0.18814580669691588	0.19669764186246363	2.917712512748499	0.2567107533562963	0.25656057783523484	0.2393659947059135	0.24736267410255539	1.0	-5630.01974741161	2.4373653343225157
7000	-5618.838403683955	1.404318391326287	-5620.242722075282	0.19660907887243864	0.17329983568711207	4.0632668627066995	0.2567107533562963	0.25656057783523484	0.2393659947059135	0.24736267410255539	1.0	-5620.242722075282	2.2473657530678075
8000	-5615.9661868949415	2.0378432074520147	-5618.004030102394	0.18872059813732003	0.23876086349539483	4.0632668627066995	0.2567107533562963	0.25656057783523484	0.2393659947059135	0.24736267410255539	1.0	-5618.004030102394	3.2013298004907953
9000	-5615.421976600263	1.8951195465982518	-5617.317096146861	0.18144552544118023	0.21802705380123924	4.162573318417018	0.2567107533562963	0.25656057783523484	0.2393659947059135	0.24736267410255539	1.0	-5617.317096146861	2.998307691154795
10000	-5617.730517933034	2.0117320437673616	-5619.742249976802	0.1992512559349442	0.17825678783165935	4.162573318417018	0.2567107533562963	0.25656057783523484	0.2393659947059135	0.24736267410255539	1.0	-5619.742249976802	2.9135261722002808
11000	-5615.170776172864	1.8750004856705187	-5617.045776658534	0.18272385189332252	0.2205956294243697	4.162573318417018	0.25121362959253596	0.2610349953603354	0.24099821386234413	0.2467531611847845	1.0	-5617.045776658534	2.989900769535655
12000	-5628.380291464539	1.3440553049862927	-5629.724346769525	0.17506460328760717	0.16755917506368734	3.818439279159535	0.25121362959253596	0.24458290902762334	0.25745030019505616	0.2467531611847845	1.0	-5629.724346769525	2.0765180347461207
13000	-5620.431479388097	1.1717817337271563	-5621.603261121824	0.1904075220620228	0.2964990261694291	3.8072552267937745	0.25310314424779257	0.24458290902762334	0.2568334497033925	0.24548049702119154	1.0	-5621.603261121824	2.4713833414164195
